date,temperature,humidity,luminosity
2023-12-21 14:55:00.282,20.2,26.4,307
2023-12-21 14:54:58.239,20.2,26.4,304
2023-12-21 14:54:56.196,20.2,26.3,305
2023-12-21 14:54:54.153,20.1,26.2,306
2023-12-21 14:54:52.110,20.2,25.9,305
2023-12-21 14:54:50.067,20.2,25.9,305
2023-12-21 14:54:48.024,20.2,26.0,305
2023-12-21 14:54:45.981,20.2,26.1,311
2023-12-21 14:54:43.938,20.2,25.9,305
2023-12-21 14:54:41.895,20.2,25.8,309
2023-12-21 14:54:39.852,20.2,25.6,260
2023-12-21 14:54:37.809,20.2,25.6,307
2023-12-21 14:54:35.766,20.2,25.6,308
2023-12-21 14:54:33.723,20.2,25.6,311
2023-12-21 14:54:31.681,20.2,25.5,311
2023-12-21 14:54:29.637,20.1,25.3,311
2023-12-21 14:54:27.595,20.2,25.2,312
2023-12-21 14:54:25.552,20.2,25.2,308
2023-12-21 14:54:23.509,20.2,25.2,305
2023-12-21 14:54:21.466,20.2,25.3,301
2023-12-21 14:54:19.423,20.2,25.2,305
2023-12-21 14:54:17.379,20.2,25.1,299
2023-12-21 14:54:15.337,20.2,25.0,216
2023-12-21 14:54:13.294,20.3,25.0,309
2023-12-21 14:54:11.251,20.3,25.1,310
2023-12-21 14:54:09.208,20.3,25.2,303
2023-12-21 14:54:07.165,20.3,25.2,302
2023-12-21 14:54:05.122,20.3,25.1,300
2023-12-21 14:54:03.079,20.3,24.9,302
2023-12-21 14:54:01.036,20.3,24.8,299
2023-12-21 14:53:58.993,20.3,24.8,309
2023-12-21 14:53:56.950,20.3,24.9,268
2023-12-21 14:53:54.907,20.2,25.0,285
2023-12-21 14:53:52.864,20.3,25.0,310
2023-12-21 14:53:50.821,20.3,25.1,308
2023-12-21 14:53:48.779,20.2,25.0,301
2023-12-21 14:53:46.736,20.2,24.9,298
2023-12-21 14:53:44.693,20.3,24.8,298
2023-12-21 14:53:42.650,20.3,24.8,302
2023-12-21 14:53:40.607,20.3,24.8,305
2023-12-21 14:53:38.563,20.3,24.9,303
2023-12-21 14:53:36.520,20.2,24.8,303
2023-12-21 14:53:34.477,20.3,24.7,303
2023-12-21 14:53:32.434,20.3,24.8,297
2023-12-21 14:53:30.392,20.3,24.7,296
2023-12-21 14:53:28.349,20.3,24.8,301
2023-12-21 14:53:26.305,20.3,24.9,290
2023-12-21 14:53:24.262,20.3,24.8,291
2023-12-21 14:53:22.218,20.3,24.8,291
2023-12-21 14:53:20.175,20.3,24.9,298
2023-12-21 14:53:18.132,20.3,24.8,310
2023-12-21 14:53:16.089,20.2,24.9,311
2023-12-21 14:53:14.047,20.3,24.9,311
2023-12-21 14:53:12.003,20.3,24.9,286
2023-12-21 14:53:09.961,20.2,25.0,256
2023-12-21 14:53:07.917,20.3,24.9,251
2023-12-21 14:53:05.874,20.3,24.9,249
2023-12-21 14:53:03.832,20.3,25.0,254
2023-12-21 14:53:01.789,20.4,25.0,256
2023-12-21 14:52:59.745,20.3,25.0,255
2023-12-21 14:52:57.703,20.3,24.9,304
2023-12-21 14:52:55.660,20.3,24.9,281
2023-12-21 14:52:53.617,20.3,25.0,213
2023-12-21 14:52:51.574,20.3,25.1,301
2023-12-21 14:52:49.531,20.3,25.1,307
2023-12-21 14:52:47.487,20.3,25.2,308
2023-12-21 14:52:45.444,20.3,25.2,313
2023-12-21 14:52:43.401,20.3,25.2,302
2023-12-21 14:52:41.358,20.2,25.1,302
2023-12-21 14:52:39.315,20.3,25.2,299
2023-12-21 14:52:37.272,20.3,25.2,313
2023-12-21 14:52:35.229,20.3,25.3,301
2023-12-21 14:52:33.186,20.3,25.2,301
2023-12-21 14:52:31.143,20.2,25.3,303
2023-12-21 14:52:29.100,20.2,25.3,306
2023-12-21 14:52:27.056,20.3,25.3,315
2023-12-21 14:52:25.013,20.2,25.2,315
2023-12-21 14:52:22.970,20.3,25.2,316
2023-12-21 14:52:20.927,20.3,25.3,316
2023-12-21 14:52:18.884,20.2,25.3,315
2023-12-21 14:52:16.841,20.3,25.2,315
2023-12-21 14:52:14.798,20.3,25.2,306
2023-12-21 14:52:12.756,20.3,25.3,306
2023-12-21 14:52:10.712,20.3,25.3,305
2023-12-21 14:52:08.670,20.3,25.2,293
2023-12-21 14:52:06.627,20.2,25.2,303
2023-12-21 14:52:04.584,20.2,25.3,300
2023-12-21 14:52:02.540,20.3,25.2,305
2023-12-21 14:52:00.496,20.2,25.1,302
2023-12-21 14:51:58.454,20.3,25.2,298
2023-12-21 14:51:56.411,20.3,25.1,298
2023-12-21 14:51:54.368,20.2,25.1,295
2023-12-21 14:51:52.325,20.2,25.2,294
